Content,Video title,Video publish time,Average percentage viewed (%),RPM (USD),Average view duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%)
bPFVcPYBMH8,I Fought The World's Best Pokemon Showdown AI Bot,"Sep 25, 2021",50.93,2.046,0:03:24,59067,3350.6071,94,120.803,536951,7.16
lnVqhmObYDc,"Tera Bug Yanmega is ""Not Very Effective"" 😂","Nov 2, 2023",34,3.554,0:10:58,57864,10590.5051,154,205.46,701438,6.69
VMXcAovLGQY,Explaining the Intricacies of an Insane PP Stall in the World Cup of Pokemon,"Jun 9, 2024",47.28,3.553,0:05:45,55916,5360.5198,91,197.469,524739,7.71
ZGbFPODdK9c,"I Played ""First Blood"" Pokemon...","Jan 10, 2024",31.24,3.036,0:09:36,53244,8524.2503,91,161.518,701272,6.15
7PwVJ4XvppE,GET IN WE'RE HEADING TO #1 ON THE LADDER,"Aug 28, 2022",36.17,6.261,0:12:21,53145,10941.3212,167,332.725,697780,5.3
3yhwW4fCe14,The Quickest Pokémon Champions League Game EVER,"Oct 15, 2023",64.61,2.529,0:03:38,52331,3174.4692,210,132.345,520080,7.8
LBADJGOqXWA,"Yep, Ursaluna-Bloodmoon is Still Broken","Nov 6, 2023",34.33,5.297,0:12:37,49487,10409.0397,142,262.087,654197,5.98
zsEkuWlBLeo,Glastrier in the Champion's League... SCL Week 4,"Oct 22, 2023",56.33,3.205,0:04:31,48818,3682.1265,141,156.486,479870,8.59
g_2i51twlks,So They Added Little Cup Random Battles... (ft Duraludon),"Jun 6, 2024",21.68,7.504,0:12:50,48607,10403.8326,63,363.417,456845,7.06
0XPx8zOny40,RANDOM BATTLES ARE BACK! Freezai vs Pokeaim Road to the Top Begins!,"Jul 2, 2022",33.44,5.139,0:19:19,48224,15534.1674,206,247.753,590584,4.73
DklK76VrMaw,So I'm Playing in a $350 Pokemon Showdown Tournament...,"Jan 22, 2022",36.33,4.707,0:11:51,47794,9443.027,181,224.968,702092,4.31
wzPsuRmXxyQ,I Destroyed This Popular Ultimate Stall Team,"Feb 16, 2024",58.48,3.486,0:05:37,47261,4430.1564,103,164.706,514895,6.89
tny293nYixA,The Greatest Comeback in Random Battles History,"Nov 5, 2023",39.35,5.964,0:11:00,47127,8648.1699,93,281.019,599071,6.34
tSDESEcfOxM,Kingambit is INSANE in Competitive Pokemon Scarlet and Violet,"Nov 26, 2022",34.65,4.423,0:06:37,47083,5202.7928,167,208.234,391499,8.68
ebxwv4w-Yqg,The Toughest Battles Yet: Random Battles to #1: Competitive Pokemon Showdown | Episode 15,"Mar 8, 2022",38.98,5.018,0:10:12,46667,7942.5355,177,234.138,611453,5.13
sHjzONPFDuQ,One of the Greatest Games in World Cup of Pokémon Ever,"Jun 16, 2024",62.99,3.935,0:06:41,46526,5186.0262,78,181.065,377494,8.53
JrA2gmbagzE,I Used Choice Band Crabominable in the NU World Cup of Pokemon,"Sep 3, 2023",43.87,4.855,0:08:10,46110,6287.8879,98,223.741,471474,7.52
7PmstTwAXis,They Got Mad... | Random Battles Race to the Top! Freezai vs Pokeaim Episode 3,"Jul 6, 2022",34.57,5.32,0:14:51,44553,11038.5756,152,237.009,521644,5.61
vO0ARjUhyZo,My Secret Weapon Saved the Ubers World Cup Finals,"Mar 24, 2024",69.05,3.116,0:05:54,43899,4327.8246,58,136.767,329443,9.37
zfWLKE0wNJ0,My Final Turn Thriller in the World Cup of Pokémon Ubers,"Feb 18, 2024",56.98,3.717,0:07:03,43839,5162.5928,80,162.877,456938,6.66
3reIMaFGKC8,I Played in a Pokemon Scarlet and Violet Ubers Tournament...,"Dec 4, 2022",34.84,4.119,0:07:46,42296,5481.3325,72,174.221,360597,8.64
ohE1mTZHtaE,Revival Blessing Pawmot Is AMAZING | Pokemon Scarlet and Violet Showdown LIVE,"Dec 2, 2022",26.19,4.34,0:07:31,41152,5161.9395,84,178.605,408052,7.49
UGZ7Z-AqTB0,I Hate Impossible Matchups |  Random Battles to #1: Competitive Pokemon Showdown | Episode 28,"Apr 10, 2022",42.02,4.407,0:11:18,41035,7730.3503,92,180.832,551293,5.08
KGAPgqXwrdM,This Scyther Moveset is Terrifying... Smogon Champion's League Week 5,"Oct 29, 2023",63.81,3.427,0:05:11,40564,3508.4345,134,138.999,378441,8.97
7OcSZDmZ0u4,Random Battles To #1 Are Back!,"Nov 1, 2023",40.46,7.207,0:12:31,40300,8415.1072,131,290.383,621846,5.09
lMOfR80QykY,Training For a $1000 Fakemon Tournament,"Sep 22, 2022",31.83,4.912,0:07:46,40290,5218.5106,106,197.895,461850,6.39
L0K2BkZPFII,"""Rain has a bad matchup here""","Jul 1, 2022",110.42,1.038,0:00:40,40238,456.6569,140,41.751,216189,12.61
GOEeYI1o21A,So I Entered a $500 Random Pokemon Tournament...,"Jun 14, 2024",37.54,7.021,0:15:11,40082,10147.0546,111,279.71,396849,6.75
aC5FDLUKY7M,Can We Reach Top 10? Random Battles to the Top,"Aug 27, 2022",33.37,6.909,0:17:56,40009,11965.9112,76,276.425,558665,4.43
7ztZta1HMeE,The Secret To The OU Ladder...,"Sep 4, 2021",26.4,3.23,0:06:16,39805,4160.1668,255,128.551,430096,6.09
PQK_vtS0y8U,Glastrier is PU!,"Jan 6, 2022",29.45,3.469,0:05:36,38600,3608.9684,89,133.885,417430,6.6
DIXeMPnqWwM,The Top 5 Pokemon Showdown Commands YOU NEED TO KNOW,"Nov 13, 2021",48.8,1.748,0:02:19,38418,1484.3306,150,67.132,369047,7.07
ghyGky_byVc,NEVER Underestimate Tropius... And Other Phrases Only Heard in Random Battles,"Nov 8, 2023",41.34,6.256,0:12:45,38254,8125.2683,68,239.284,495201,6.01
BZjoqRkRhWw,Never Give Up on Shell Smash Cloyster!,"Nov 15, 2023",40.58,6.377,0:12:49,38226,8174.7132,65,243.754,449825,6.69
q4SkCfhvyaI,This Shuckle Ubers Team Surprised Me in the World Cup of Pokémon...,"Feb 29, 2024",57.17,3.674,0:07:40,38210,4885.0147,52,140.368,345446,7.69
dZQ7EfRgBPA,Live Overheat Chi-Yu Reaction,"Nov 7, 2023",40.4,6.752,0:11:56,38036,7572.5442,686,256.733,488399,6.2
Q_x3LheLWgs,Entering The Top 50 on Pokemon Showdown,"Nov 9, 2023",45.91,6.671,0:11:04,38002,7017.6414,89,253.53,486749,6.25
oRrOrGCEAUw,Gen 9 Random Battles Are Here!,"Dec 14, 2022",29.68,4.175,0:10:24,37769,6554.8548,64,157.701,362415,7.55
VlMhqLxjzPg,NEVER Underestimate Moltres! World Cup of Pokemon 2023 | India vs Germany,"Jun 25, 2023",60.15,4.326,0:05:27,37606,3424.1979,132,162.664,402953,6.67
k4mQaGq_drk,This is Why You NEED To Use Great Tusk | Pokemon Scarlet and Violet Showdown LIVE,"Nov 22, 2022",24.15,2.971,0:07:45,37551,4856.3849,120,111.554,412930,6.63
4FuQheenUZI,Salty High Ladder Player Goes on Insane Toxic Rant,"Aug 9, 2023",46.83,4.239,0:11:32,36937,7106.9788,53,156.375,313581,8.19
fb5axYLWGkA,Random Battles from Top 500 to Top 1: Competitive Pokemon Showdown | Episode 9,"Mar 2, 2022",39.73,5.737,0:13:44,36649,8391.588,153,210.244,593636,3.71
xJeIDw6rssU,The Finale? I Become the #1 Pokemon Showdown Player?,"May 3, 2024",41.07,6.353,0:13:29,36631,8240.1793,57,232.377,300197,8.25
ROimgXAdjX8,Random Battles Race to the Top! Freezai vs Pokeaim Episode 2,"Jul 4, 2022",33.89,5.155,0:18:28,36382,11207.4175,89,187.508,446519,5.05
ylNWHgsV-Kc,I Predicted Choice Specs Quick Attack. It Worked.,"Jul 2, 2022",57.02,2.421,0:04:34,35990,2747.7039,152,87.115,289312,9.28
uYzqytnjbY8,Quick Draw Slowbro Gives Me Nightmares... | Competitive Pokemon Smogon Tour Week 1,"Mar 12, 2022",39.26,5.069,0:10:34,35775,6301.2091,117,181.342,554092,4.44
nj6ZlYDJDBI,How I Did in Smogon's Grand Slam's Top 16 Round,"Jul 23, 2022",30.68,6.431,0:20:32,35641,12204.0796,48,229.173,497715,4.14
h2FYN54f8zY,My UNLUCKIEST Game Ever: Random Battles to #1: Competitive Pokemon Showdown | Episode 13,"Mar 6, 2022",43.97,4.69,0:10:46,35585,6393.6016,201,166.896,603493,3.83
1oIPRaNnnT0,I Played in the Final Tiebreaker of the World Cup of NU Pokemon,"Sep 30, 2023",48.74,3.929,0:09:31,35495,5631.7853,82,139.404,410681,6.27
yR5lnqhG91Y,This Random Battles Game Shows Why Gliscor is OP,"Dec 5, 2023",40.2,6.45,0:12:48,35290,7535.4927,48,227.515,467243,5.92
KLUU-MwFvuE,Iron Valiant is the GOAT... World Cup of Pokemon 2023 | India vs Belgium,"Jun 25, 2023",56.64,3.783,0:05:36,35244,3293.9156,116,133.304,396464,6.35
A3losvuz6Nw,Shell Smash Drednaw is BROKEN!,"Nov 25, 2023",39.5,6.991,0:14:25,34885,8390.2951,41,243.824,467526,5.64
p8Vh8pfRRpU,I Found Out if Miraidon is Overpowered,"Mar 11, 2024",23.33,5.936,0:18:16,34643,10550.198,41,205.593,316162,6.35
chQnVveWh9E,Underestimate Magcargo at Your Own Risk...,"Nov 18, 2023",43.04,6.825,0:13:48,34512,7938.7282,83,235.531,444331,6.03
GuKhD_AaEb8,My Most Clutch Game Yet  |  Random Battles to #1: Competitive Pokemon Showdown | Episode 31,"Apr 13, 2022",53.31,4.541,0:09:26,34342,5405.3186,102,155.931,436865,5.68
dB-X2rmkZtI,My Toughest Battle Yet: The Ubers World Cup Semifinals,"Mar 10, 2024",62.35,3.267,0:05:46,33959,3269.9021,48,110.931,260120,9.11
kbx2hl9gheU,Girafarig Little Cup Hyper Offense is CRAZY | Pokemon Showdown Scarlet And Violet LIVE,"Nov 26, 2022",32.94,4.502,0:08:49,33931,4991.9017,91,152.767,376847,6.55
tznUybuTc6s,THE RANDOM BATTLES MOVIE,"Nov 23, 2023",31.99,7.759,0:17:30,33863,9882.4214,45,262.662,450331,5.28
dKa4GKXgI1E,WE ARE IN THE TOP 5  |  Random Battles to #1: Competitive Pokemon Showdown | Episode 32,"Apr 14, 2022",54.83,4.551,0:09:03,33821,5110.0112,510,153.905,399786,6.11
qZLNmc0JJqM,Gen 7 OU Has So Much Rain... | Competitive Pokemon Smogon Tour Week 2,"Mar 20, 2022",38.86,4.551,0:07:48,33552,4364.4347,85,152.617,401276,5.85
BbvNb0eE5L4,Hail Strats in the Smogon Champion's League,"Nov 19, 2023",57.42,5.326,0:07:28,33364,4155.9502,45,177.704,325226,8.41
 -J2750cGlwM,"KORAIDON, TAKE ME TO #1 ON THE LADDER | Random Battles to The Top Scarlet and Violet","Jan 22, 2023",44.67,3.941,0:12:22,33353,6877.8592,59,131.46,449357,5.06
944nl_ZLh-c,I Used Chansey + Avalugg in the Champion's League... Week 6,"Nov 4, 2023",53.92,4.708,0:04:50,33250,2684.0568,64,156.531,336432,8.22
c8c9dOHI23s,My First Round of the $1000 Fakemon Tournament,"Oct 8, 2022",38.49,5.798,0:09:58,33182,5515.8955,89,192.377,328506,7.31
rcg9LbKy5zk,Zoroark Is The Most Fun Pokemon | Random Battles to the Top!,"Apr 1, 2023",38.35,3.915,0:09:56,33096,5486.406,57,129.572,411230,5.71
AL6wurtCQ9c,Freezai vs MoxieBoosted | Freezai vs PokeaimMD | Showdown Star Tournament,"May 10, 2024",37.83,4.834,0:13:05,33043,7207.9094,42,159.382,320477,6.84
fefdN7FHIbQ,DragMag but in NU,"Nov 12, 2023",49.24,3.098,0:07:02,32625,3833.07,42,101.056,343390,7.9
qeGEqU2GlnA,Causing Rage Quits on the Random Battles High Ladder,"Sep 12, 2023",34.95,5.906,0:15:13,32621,8275.042,55,192.629,378802,5.48
kw-Lr8gmXOo,I Make My 2023 Smogon Champion League Debut,"Oct 1, 2023",59.58,3.63,0:05:28,32315,2952.3667,104,117.28,319620,7.5
z_ESqpjnxv4,Random Battles from Top 500 to Top 1: Competitive Pokemon Showdown | Episode 12,"Mar 5, 2022",47,4.491,0:09:26,32298,5081.1903,220,145.037,501080,4.39
2AS6EUcyJy4,Slither Wing is really good,"Jan 13, 2024",35.35,4.216,0:11:33,32041,6176.3044,30,135.061,411463,6.09
hPByHaNUepw,I Used a Low Tier Grassy Terrain Team in a Big Pokémon Tournament,"Feb 17, 2024",55.27,3.392,0:05:58,31970,3180.5765,48,108.41,316866,7.05
Tgwu9Cg_YxA,Using Ditto to Reverse Sweep the Best Random Battle Players,"Aug 12, 2023",50.09,5.327,0:11:14,31899,5978.0608,63,169.919,376768,5.92
GRV5jQI8vKg,All I Do Is Win,"Dec 9, 2023",40.21,5.811,0:14:37,31871,7767.6878,1091,185.116,408154,5.75
eoS4-9XN7vc,Pokemon Epic Zoroark,"Jun 24, 2021",126.16,0.057,0:00:18,31803,167.172,5,1.819,459593,4.92
0wHoNe-nuvg,Quite Literally the Worst Matchup Ever |  Random Battles to #1:  Pokemon Showdown | Episode 39,"Apr 22, 2022",45.98,4.56,0:08:06,31690,4286.0328,56,144.496,329012,7.18
HwnvBXzOUAg,"Klawf, I Underestimated You.","Jan 10, 2023",39.53,3.525,0:08:08,31604,4285.8495,74,111.419,300503,7.76
CI1zCWeJC4w,Why Spidops is Broken,"Dec 12, 2023",44.47,5.482,0:12:44,31573,6704.9177,34,173.06,376076,6.5
6j3Dx2hQ5B0,2200+ Elo Random Battles on Pokemon Showdown,"Nov 17, 2023",44.09,4.159,0:12:09,31467,6376.1435,37,130.825,439470,5.62
8OdD0_5EbBY,Last Respects Basculegion is the Best Pokemon In the Format!,"Jun 20, 2023",38.62,3.361,0:06:40,31455,3495.3032,68,105.705,324796,6.86
yx_wXEzk2_0,BloodMoon Ursaluna is Terrifying... OU With DLC Pokemon!,"Sep 16, 2023",36.9,5.247,0:08:36,31300,4488.6561,55,164.228,314111,7.34
BJfS2su8BtQ,Random Battles from Top 500 to Top 1: Competitive Pokemon Showdown | Episode 10,"Mar 3, 2022",44.04,5.576,0:12:23,31284,6463.3479,139,174.455,515270,3.76
rLkJIYzbOUM,Trying to Climb to the Top of the Random Battles Ladder!,"Nov 20, 2023",43.65,4.323,0:12:45,31207,6637.3502,44,134.893,336299,7.23
6o-W86sk8Ws,Random Battles With the New DLC Pokemon! Shell Smash Torterra is Awesome!,"Sep 15, 2023",38.68,2.6,0:11:48,31010,6104.0357,48,80.641,329328,6.82
euWLc33_guk,Tera Electric Regieleki is a MENACE,"Dec 10, 2023",41.51,5.919,0:13:33,30948,6994.7941,34,183.129,369940,6.35
yLe-bPnySOY,Dipplin Is Seriously Overpowered...,"Dec 1, 2023",40.72,5.729,0:14:12,30856,7307.6901,29,176.779,367628,6.19
11CLR4Y02eo,The New E-Killer DESTROYS The World Cup of Pokemon,"Jun 15, 2024",63.59,3.283,0:05:27,30855,2807.0389,257,100.72,268948,8.02
5XEQLW3wmKE,Swords Dance Koraidon is INSANE... But I Have a Plan!,"Nov 16, 2023",47.63,5.901,0:12:18,30804,6320.8269,48,181.776,381563,6.42
2QrJ1eUYELc,What's a Kyogre to a Gastrodon?,"Aug 10, 2023",45.04,5.881,0:14:03,30738,7199.6874,58,180.761,358917,5.92
O79Pmg0Gs0w,Stuck In Elo Hell |  Random Battles to #1: Competitive Pokemon Showdown | Episode 17,"Mar 10, 2022",40.88,4.727,0:10:19,30689,5279.7439,94,145.05,432386,4.84
t0CrlSKvMaM,My PU Sand Team Had an Unlikely Hero vs a Top Player...,"Feb 23, 2024",51.99,4.109,0:07:47,30619,3975.354,771,125.781,284554,7.39
W3I1HqG681Q,The Return of Random Battles to the Top!,"Mar 27, 2024",37.75,6.528,0:13:40,30208,6883.2325,21,197.119,254562,7.79
Ttp7rR80qXY,So I Fought the #3 Player... Almost At Top 10! 2300+ Elo,"Aug 25, 2022",33.96,7.779,0:15:24,30199,7756.0749,58,234.923,411974,5.02
q8Im_EA7OxE,ENTERING THE TOP 25 | SV Random Battles To The Top,"Dec 23, 2022",45.05,4.873,0:11:09,30196,5616.9806,74,147.141,426725,5.02
afq6mjGO3pQ,I Entered a $500 Pokemon Tournament...,"Mar 23, 2023",39.56,4.096,0:09:09,29914,4566.0831,74,122.533,349575,6.21
jQec2uteG98,I Used Hippopotas in the Smogon Champion's League...,"Oct 6, 2023",53.62,3.878,0:07:00,29911,3497.2061,64,115.98,304268,7.24
tHcqRwNGISk,Dondozo Is CRAZY | Pokemon Scarlet and Violet Random Battles,"Dec 17, 2022",34.16,5.192,0:11:51,29842,5900.9381,46,154.953,350549,5.81
81EsfVhu_2o,Charmander Sun + Eject Button COOKS the Little Cup Ladder on Pokemon Showdown,"Aug 12, 2021",36.56,3.602,0:07:16,29823,3619.2026,109,107.404,298271,7.07
_MM7BHDhYy4,"At the Top of the Ladder with Persian, the Hero I Don't Deserve...","Aug 11, 2023",47.99,4.228,0:11:20,29806,5630.632,33,125.976,279693,7.42
Zu2fWtiOhTQ,Fighting a Top 5 Player  |  Random Battles to #1: Competitive Pokemon Showdown | Episode 29,"Apr 11, 2022",53.3,4.386,0:09:11,29675,4547.1079,119,130.16,356734,6.14
Ds0b0vSEOG8,Breaking the Top 5?! | Random Battles to #1:  Pokemon Showdown | Episode 51,"May 13, 2022",47.92,5.515,0:11:00,29627,5433.8981,51,163.391,260358,8.34
ShCljCK0Fjk,Random Battles from Top 500 to Top 1 (TILT EDITION): Competitive Pokemon Showdown | Episode 6,"Feb 27, 2022",39.31,4.671,0:10:21,29543,5100.1259,127,138.001,500239,3.83
BSZBr1d5VAA,Top 50 Pokemon Random Battles!,"Nov 21, 2023",44.46,6.825,0:14:26,29515,7104.4078,35,201.4,359993,6.39
PAKuJCrEBU0,randbats11 3,"Nov 3, 2023",39.36,5.73,0:12:24,29391,6076.2037,58,168.399,397271,5.9
S4Zo6wD_TbA,The Craziest World Cup of Pokemon 2022 Opening Game,"May 8, 2022",38.48,5.123,0:10:46,29321,5262.3549,54,150.186,317619,6.41
UgYjMWV83E8,Light Ball Pikachu is POWERFUL!,"Mar 31, 2024",46.72,4.926,0:09:00,29310,4401.252,19,144.319,239340,8.45
OFKOnAavXJo,I Fought a 2400...  | Random Battles Race to Top 10,"Aug 5, 2022",33.55,5.183,0:16:14,29233,7911.3665,77,151.518,414875,4.55
OuIP7wOjb_Y,Top 30 Gameplay | Pokemon Scarlet and Violet Random Battles,"Dec 22, 2022",39.33,4.531,0:10:32,29119,5119.1901,54,131.937,375278,5.46
wYCITemIcqU,I'm Playing in the World Cup of Random Battles...,"Aug 22, 2023",47.72,5.128,0:11:12,29021,5420.1047,70,148.766,287648,7.26
IgPnIrAlI8k,Random Battles from Top 500 to Top 1: Competitive Pokemon Showdown | Episode 11,"Mar 4, 2022",46.51,5.316,0:11:12,29001,5414.1146,172,154.172,451883,4.27
TIzliz7DBmU,Pokemon Random Battles: Where Rampardos and Minun are Good,"Mar 29, 2024",48.8,5.822,0:10:12,28955,4925.8826,28,168.469,274572,7.01
PHFONTbRZps,Pokemon BDSP: Blastoise has NO COUNTERS!,"Jan 16, 2022",32,3.805,0:07:24,28777,3552.7527,140,109.504,299827,6.64
psBeSTY4vsU,Ursaluna Blood-Moon... and Sticky Web? GG,"Apr 2, 2024",50.2,5.274,0:10:20,28444,4906.2762,25,149.948,275023,7.1
d4144dunY88,How to Add Friends on Pokemon Showdown,"Jul 22, 2021",32.67,1.209,0:00:41,28354,324.2296,37,34.268,64244,22.73
ikiHTDayzfo,A Random Battles To The Top Update,"Mar 13, 2022",96.56,1.201,0:00:37,28308,296.1334,45,34.009,179312,10.77
c8WQ-AMeLaQ,Dipplin is one of the best Random Battles Pokemon. Here's Why.,"Apr 6, 2024",41.57,6.251,0:12:30,28297,5900.8497,233,176.732,233436,7.97
0enPCSPvNqQ,The Wo-Chien Choke,"Mar 30, 2024",44.11,5.841,0:10:47,28262,5080.4909,17,164.981,219132,8.68
A1cL2AaFzAA,The Greatest Pawniard Of All Time | Smogon Champion's League Week 1,"Sep 11, 2022",46.81,4.002,0:06:53,28148,3235.3613,56,112.66,391927,5.21
-2XEgU90Q9k,World Cup of Pokemon: A Decisive Offense vs Offense Battle!,"Jun 8, 2024",61.63,3.821,0:06:23,28054,2987.1363,177,107.008,295918,6.7
PoRUvLlhAYM,Hisuian-Zoroark is Fooling the Best Players on Pokemon Showdown...,"Aug 1, 2023",48.67,4.695,0:10:17,27839,4771.9249,89,130.698,254692,7.94
5kjMLD7nu7k,Fighting 2300s Every Game... | Random Battles Race to Top 10,"Aug 7, 2022",35.68,5.343,0:16:53,27820,7830.4202,51,148.642,463135,3.83
un0YJ8JE0Rs,Random Battles from Top 500 to Top 1: Competitive Pokemon Showdown | Episode 8,"Mar 1, 2022",40.83,5.171,0:12:41,27789,5878.0999,142,143.705,435661,3.95
Ks_H0MHh0sQ,Entering the 2400s? |  Random Battles to #1: Competitive Pokemon Showdown | Episode 33,"Apr 15, 2022",49.38,4.591,0:09:01,27666,4159.0467,74,127.005,297536,6.9
uUf5YQbzl8M,The Struggle Continues? Random Battles to #1: Competitive Pokemon Showdown | Episode 16,"Mar 9, 2022",48.96,4.905,0:08:54,27569,4094.6281,130,135.223,367792,5.12
HcxD3VGpWWg,I Used Tera-Water Rain Floatzel in the NU World Cup...,"Aug 27, 2023",68.96,2.528,0:04:22,27529,2009.157,38,69.57,262420,7.89
_vfYZox0sjQ,You Can't Run From the Basculegion Endgame...,"Mar 28, 2024",41.24,5.569,0:12:49,27446,5866.1703,48,152.75,212104,8.53
mIPxt0Oh9mY,More High Elo Pokemon Random Battles,"Nov 22, 2023",46.82,6.959,0:12:49,27293,5835.6961,30,189.903,361746,5.98
4Oy18NjmfLo,VGC Now Allows One Legendary. I Used Groudon.,"Apr 12, 2024",23.6,5.059,0:11:36,27065,5235.4308,22,136.91,188217,9.18
Us-Zbl5BQ_A,India Used Stall in the World Cup of Pokemon 2022,"May 9, 2022",33.28,2.665,0:07:51,27056,3541.4875,43,72.103,299412,6.62
NlmQG2ZK08c,I HATE SCOVILLAIN,"Jan 7, 2023",40.54,2.574,0:09:32,27027,4300.3789,50,69.568,285039,6.95
doS4MQwH2L0,Koraidon Meets Its Immortal Enemy,"Dec 7, 2023",41.5,5.015,0:12:29,26994,5619.5743,25,135.305,305667,6.71
WMeL9c__Rv0,How Furret Became My Unexpected Hero,"Jan 8, 2024",42.28,3.179,0:12:27,26978,5598.7831,56,85.727,321823,6.49
cmnI5bBwIM0,I hate Random Battles,"Apr 3, 2023",38.87,4.962,0:10:24,26789,4644.8224,48,132.912,301730,6.26
w4L7u-ic5dk,"I Played ""First Blood"" Pokemon... It went terribly wrong...","Jan 11, 2024",42.24,2.662,0:08:21,26639,3702.107,14,70.904,344372,6.32
6RmAhkPpPRA,Trouble at the Top...,"Apr 30, 2024",41.31,6.862,0:13:30,26620,5994.6683,18,182.449,196618,8.89
zWcwzyPPSeU,WE ARE BACK  |  Random Battles to #1: Competitive Pokemon Showdown | Episode 19,"Apr 1, 2022",46.22,4.92,0:11:01,26552,4881.3198,81,130.626,433299,4.05
ufF89pslpUw,Shell Smash Cloyster,"Dec 11, 2023",44.92,6.125,0:13:58,26547,6180.6336,19,162.472,365675,5.49
Rgzo5HxMyn8,My Final(?) Game in the World Cup of Random Battles.,"Aug 25, 2023",53.51,4.034,0:09:55,26482,4380.975,25,106.827,266152,7.18
ZXlyQfe--hg,I Fought a 2450 Elo Player...,"Jul 23, 2023",44.09,4.975,0:13:10,26469,5808.6072,139,131.692,275544,6.54
c-Q9LdqVZck,The Cocaine Bear is CRAZY | Pokemon Showdown Random Battles,"Jul 20, 2023",42.64,3.404,0:12:27,26446,5487.5693,43,89.988,261182,6.8
SsxiYledLr8,The Comeback Kid: Wugtrio's Shining Moment,"Jul 30, 2023",43.59,4.266,0:13:16,26421,5848.1937,36,112.724,301604,5.99
DbDrjVEgmyk,I Tilted.. |  Random Battles to #1: Competitive Pokemon Showdown | Episode 34,"Apr 16, 2022",43.01,4.184,0:08:35,26319,3766.7296,50,110.127,307799,6.23
GckH6Iy7ofM,NEW DLC Pokemon Random Battles,"Dec 17, 2023",46.89,4.61,0:11:24,26315,5000.2371,28,121.304,280426,7.39
z1spDISmvkU,2200 Elo Random Battles (Random Battles 11/24),"Nov 24, 2023",46.72,7.987,0:14:03,26183,6137.098,24,209.098,391486,5.2
L_kTTNi-tuI,My Lucky Day | SEASON 3 BEGINS  Random Battles to #1:  Pokemon Showdown | Episode 38,"Apr 21, 2022",49.59,5.507,0:11:24,26176,4979.3629,52,144.15,390496,4.72
FqY2fUTAaQo,Why Flapple is Both the Best AND the Worst Pokemon Of All Time...,"Jul 31, 2023",45.17,5.09,0:11:45,26022,5099.8679,28,132.433,283977,6.6
bS_kffl3yLE,Dynamax is my FRIEND  |  Random Battles to #1: Competitive Pokemon Showdown | Episode 26,"Apr 8, 2022",48.01,4.952,0:11:41,25937,5056.7765,78,128.436,328299,5.26
_o7bEM-T9B4,My Second Round of the $1000 Fakemon Tournament,"Oct 15, 2022",33.08,5.451,0:11:45,25859,5070.9239,52,140.964,307930,6.05
XwRa3t-qH1w,I Played Michael... TWICE!,"Apr 13, 2024",50.7,5.512,0:11:25,25790,4910.4167,40,142.084,193864,8.94
